feature_id,latitude,longitude,gravity_min_mGal,gravity_mean_mGal,pixel_count,data_source,risk_score,risk_tier
GRAV-1,30.96342022562449,-87.46796655922643,-33.459312438964844,-19.341100692749023,1241,raw_gravity,80.0,severe
GRAV-2,30.58253544360231,-84.42638274632189,-41.859134674072266,-12.381349563598633,4486,raw_gravity,80.0,severe
GRAV-3,31.418525641025635,-81.57425641025641,-19.07123374938965,-11.346726417541504,78,raw_gravity,80.0,severe
GRAV-8,28.667410090556267,-81.68917399741268,-26.400728225708008,-12.006562232971191,1546,raw_gravity,80.0,severe
GRAV-17,26.106249999999992,-81.12825,-17.565147399902344,-9.608821868896484,124,raw_gravity,80.0,severe
GRAV-15,27.17205555555555,-80.804125,-23.5830020904541,-11.935575485229492,144,raw_gravity,80.0,severe
GRAV-18,25.452933333333327,-80.43703333333333,-16.45175552368164,-9.729753494262695,30,raw_gravity,65.0,elevated
GRAV-4,31.44464285714285,-81.2575,-17.468427658081055,-14.717004776000977,7,raw_gravity,53.5,moderate
GRAV-16,26.54369047619047,-81.70921428571428,-6.784560203552246,-5.914875030517578,21,raw_gravity,19.42280101776123,minimal
GRAV-10,29.70716666666666,-85.29783333333333,-6.2010698318481445,-5.7307963371276855,6,raw_gravity,9.005349159240723,minimal
